task_id,setting,condition,generated_path_index,initial_noise_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,expert_action_error,is_min_cost,is_min_rollout_error,is_min_expert_action_error
5,64x1,experience_off,1,1,1,1,0,-0.3784886598587036,0.16304120421409607,0.1521594226360321,False,False,True
5,64x1,experience_off,2,2,1,2,0,-0.38411104679107666,0.301296591758728,0.1802869439125061,False,False,False
5,64x1,experience_off,3,3,1,3,0,-0.3839298486709595,0.4132000207901001,0.2107701450586319,False,False,False
5,64x1,experience_off,4,4,1,4,0,-0.3730316162109375,0.23855185508728027,0.21096545457839966,False,False,False
5,64x1,experience_off,5,5,1,5,0,-0.39026975631713867,0.16027161478996277,0.2427382618188858,False,False,False
5,64x1,experience_off,6,6,1,6,0,-0.39180541038513184,0.1649264544248581,0.16287057101726532,False,False,False
5,64x1,experience_off,7,7,1,7,0,-0.38720959424972534,0.33562466502189636,0.1764090657234192,False,False,False
5,64x1,experience_off,8,8,1,8,0,-0.3912649154663086,0.03046872839331627,0.24280938506126404,False,True,False
5,64x1,experience_off,9,9,1,9,0,-0.39768537878990173,0.06877180933952332,0.17849455773830414,True,False,False
5,64x1,experience_off,10,10,1,10,0,-0.37431418895721436,0.3086733818054199,0.1673707216978073,False,False,False
5,64x1,experience_off,11,11,1,11,0,-0.3735029101371765,0.3963598906993866,0.2052774429321289,False,False,False
5,64x1,experience_off,12,12,1,12,0,-0.38823580741882324,0.45468443632125854,0.16431842744350433,False,False,False
5,64x1,experience_off,13,13,1,13,0,-0.38519561290740967,0.36060279607772827,0.20329348742961884,False,False,False
5,64x1,experience_off,14,14,1,14,0,-0.38949209451675415,0.12727224826812744,0.19720305502414703,False,False,False
5,64x1,experience_off,15,15,1,15,0,-0.38576021790504456,0.40160006284713745,0.1745990514755249,False,False,False
5,64x1,experience_off,16,16,1,16,0,-0.38956567645072937,0.12598463892936707,0.18985618650913239,False,False,False
5,64x1,experience_off,17,17,1,17,0,-0.38049155473709106,0.35086938738822937,0.16603732109069824,False,False,False
5,64x1,experience_off,18,18,1,18,0,-0.38616976141929626,0.268623411655426,0.1897587776184082,False,False,False
5,64x1,experience_off,19,19,1,19,0,-0.38417142629623413,0.2311290204524994,0.19729024171829224,False,False,False
5,64x1,experience_off,20,20,1,20,0,-0.3796129822731018,0.15332016348838806,0.1952327936887741,False,False,False
5,64x1,experience_off,21,21,1,21,0,-0.3767297863960266,0.12927107512950897,0.2558872103691101,False,False,False
5,64x1,experience_off,22,22,1,22,0,-0.38878390192985535,0.6912140250205994,0.2004488706588745,False,False,False
5,64x1,experience_off,23,23,1,23,0,-0.38802579045295715,0.22005516290664673,0.2107418328523636,False,False,False
5,64x1,experience_off,24,24,1,24,0,-0.38489753007888794,0.12807756662368774,0.21681176126003265,False,False,False
5,64x1,experience_off,25,25,1,25,0,-0.37326186895370483,0.3384140133857727,0.20640750229358673,False,False,False
5,64x1,experience_off,26,26,1,26,0,-0.39094603061676025,0.09345939755439758,0.19892899692058563,False,False,False
5,64x1,experience_off,27,27,1,27,0,-0.3847544193267822,0.25132879614830017,0.2506024241447449,False,False,False
5,64x1,experience_off,28,28,1,28,0,-0.380024790763855,0.09280923008918762,0.20716728270053864,False,False,False
5,64x1,experience_off,29,29,1,29,0,-0.37178730964660645,0.12311951816082001,0.2567227780818939,False,False,False
5,64x1,experience_off,30,30,1,30,0,-0.3886312246322632,0.2950131893157959,0.1806907206773758,False,False,False
5,64x1,experience_off,31,31,1,31,0,-0.3882905840873718,0.9082021713256836,0.18802288174629211,False,False,False
5,64x1,experience_off,32,32,1,32,0,-0.39204686880111694,0.19594857096672058,0.16125594079494476,False,False,False
5,64x1,experience_off,33,33,1,33,0,-0.39368537068367004,0.17628590762615204,0.177594393491745,False,False,False
5,64x1,experience_off,34,34,1,34,0,-0.3826519250869751,0.2237403690814972,0.2212839424610138,False,False,False
5,64x1,experience_off,35,35,1,35,0,-0.38996702432632446,0.19986581802368164,0.18772628903388977,False,False,False
5,64x1,experience_off,36,36,1,36,0,-0.37783461809158325,0.3192037343978882,0.24290385842323303,False,False,False
5,64x1,experience_off,37,37,1,37,0,-0.384930819272995,0.1595935821533203,0.1755208969116211,False,False,False
5,64x1,experience_off,38,38,1,38,0,-0.37322384119033813,0.23488450050354004,0.21371249854564667,False,False,False
5,64x1,experience_off,39,39,1,39,0,-0.37825918197631836,0.14251813292503357,0.20221580564975739,False,False,False
5,64x1,experience_off,40,40,1,40,0,-0.38359594345092773,0.21524856984615326,0.16937251389026642,False,False,False
5,64x1,experience_off,41,41,1,41,0,-0.37196698784828186,0.29774999618530273,0.19514627754688263,False,False,False
5,64x1,experience_off,42,42,1,42,0,-0.37581419944763184,0.3122362792491913,0.27256619930267334,False,False,False
