task_id,setting,condition,generated_path_index,initial_noise_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,expert_action_error,is_min_cost,is_min_rollout_error,is_min_expert_action_error
1,64x1,experience_off,1,1,1,1,0,-0.340679407119751,0.053927939385175705,0.41829851269721985,False,False,False
1,64x1,experience_off,2,2,1,2,0,-0.3378334045410156,0.03370187431573868,0.43852499127388,False,False,False
1,64x1,experience_off,3,3,1,3,0,-0.34233593940734863,0.02964402362704277,0.5250689387321472,False,False,False
1,64x1,experience_off,4,4,1,4,0,-0.33168649673461914,0.03428046032786369,0.44008010625839233,False,False,False
1,64x1,experience_off,5,5,1,5,0,-0.34185004234313965,0.051309164613485336,0.48089903593063354,False,False,False
1,64x1,experience_off,6,6,1,6,0,-0.34014052152633667,0.04697310924530029,0.4729953706264496,False,False,False
1,64x1,experience_off,7,7,1,7,0,-0.3428272008895874,0.07574909180402756,0.44435733556747437,False,False,False
1,64x1,experience_off,8,8,1,8,0,-0.3331156075000763,0.03762643411755562,0.44891464710235596,False,False,False
1,64x1,experience_off,9,9,1,9,0,-0.33795520663261414,0.020810270681977272,0.4147324562072754,False,False,False
1,64x1,experience_off,10,10,1,10,0,-0.3419267535209656,0.052067458629608154,0.48387452960014343,False,False,False
1,64x1,experience_off,11,11,1,11,0,-0.3374861478805542,0.028758516535162926,0.4792085289955139,False,False,False
1,64x1,experience_off,12,12,1,12,0,-0.34224265813827515,0.034499332308769226,0.4652356505393982,False,False,False
1,64x1,experience_off,13,13,1,13,0,-0.3277457654476166,0.030127456411719322,0.4809306859970093,False,False,False
1,64x1,experience_off,14,14,1,14,0,-0.3402264714241028,0.04458814486861229,0.431533545255661,False,False,False
1,64x1,experience_off,15,15,1,15,0,-0.34246665239334106,0.04805753752589226,0.388283371925354,False,False,False
1,64x1,experience_off,16,16,1,16,0,-0.340520977973938,0.039217449724674225,0.42930901050567627,False,False,False
1,64x1,experience_off,17,17,1,17,0,-0.3356913924217224,0.04915890097618103,0.4547329545021057,False,False,False
1,64x1,experience_off,18,18,1,18,0,-0.33942893147468567,0.025142107158899307,0.43180492520332336,False,False,False
1,64x1,experience_off,19,19,1,19,0,-0.33285409212112427,0.017088908702135086,0.4818727374076843,False,False,False
1,64x1,experience_off,20,20,1,20,0,-0.33796367049217224,0.03073485754430294,0.4317162334918976,False,False,False
1,64x1,experience_off,21,21,1,21,0,-0.33600348234176636,0.027410849928855896,0.41427940130233765,False,False,False
1,64x1,experience_off,22,22,1,22,0,-0.34115609526634216,0.04998219013214111,0.37516456842422485,False,False,False
1,64x1,experience_off,23,23,1,23,0,-0.34125882387161255,0.058529332280159,0.4989534914493561,False,False,False
1,64x1,experience_off,24,24,1,24,0,-0.33380717039108276,0.04159409552812576,0.5319103598594666,False,False,False
1,64x1,experience_off,25,25,1,25,0,-0.3395324945449829,0.03838620334863663,0.43419042229652405,False,False,False
1,64x1,experience_off,26,26,1,26,0,-0.3420320749282837,0.029458850622177124,0.4173668622970581,False,False,False
1,64x1,experience_off,27,27,1,27,0,-0.34263741970062256,0.04770849272608757,0.46929726004600525,False,False,False
1,64x1,experience_off,28,28,1,28,0,-0.3306301236152649,0.03770510107278824,0.47566160559654236,False,False,False
1,64x1,experience_off,29,29,1,29,0,-0.3446890413761139,0.05566006153821945,0.418979287147522,True,False,False
1,64x1,experience_off,30,30,1,30,0,-0.3371114432811737,0.03618994727730751,0.44662392139434814,False,False,False
