task_id,setting,condition,generated_path_index,initial_noise_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,expert_action_error,is_min_cost,is_min_rollout_error,is_min_expert_action_error
0,64x1,experience_off,1,1,1,1,0,-0.3049957752227783,0.07021892070770264,0.9913842082023621,False,False,False
0,64x1,experience_off,2,2,1,2,0,-0.31166350841522217,0.07215726375579834,0.9774364829063416,False,False,False
0,64x1,experience_off,3,3,1,3,0,-0.31446534395217896,0.07572390884160995,0.9266354441642761,False,False,False
0,64x1,experience_off,4,4,1,4,0,-0.31186148524284363,0.013785956427454948,0.8705073595046997,False,False,False
0,64x1,experience_off,5,5,1,5,0,-0.30382242798805237,0.07455085963010788,0.9855325222015381,False,False,False
0,64x1,experience_off,6,6,1,6,0,-0.3161327540874481,0.032065264880657196,0.9490610361099243,False,False,False
0,64x1,experience_off,7,7,1,7,0,-0.31065285205841064,0.020815789699554443,0.9990109801292419,False,False,False
0,64x1,experience_off,8,8,1,8,0,-0.30631428956985474,0.11767484992742538,0.8758531212806702,False,False,False
0,64x1,experience_off,9,9,1,9,0,-0.31025153398513794,0.017387161031365395,0.8780077695846558,False,False,False
0,64x1,experience_off,10,10,1,10,0,-0.31517213582992554,0.022415783256292343,0.9527359008789062,False,False,False
0,64x1,experience_off,11,11,1,11,0,-0.30717360973358154,0.09921678155660629,1.1705856323242188,False,False,False
0,64x1,experience_off,12,12,1,12,0,-0.3146120309829712,0.0661211907863617,0.9566692113876343,False,False,False
0,64x1,experience_off,13,13,1,13,0,-0.30659034848213196,0.0795932337641716,0.9455040693283081,False,False,False
0,64x1,experience_off,14,14,1,14,0,-0.3099850118160248,0.007314178626984358,0.9436344504356384,False,True,False
0,64x1,experience_off,15,15,1,15,0,-0.3104822635650635,0.17765316367149353,0.9508984088897705,False,False,False
0,64x1,experience_off,16,16,1,16,0,-0.30742835998535156,0.011417396366596222,0.9743226170539856,False,False,False
0,64x1,experience_off,17,17,1,17,0,-0.31853508949279785,0.0682302936911583,0.9682993292808533,False,False,False
0,64x1,experience_off,18,18,1,18,0,-0.30614835023880005,0.020310115069150925,0.9259556531906128,False,False,False
0,64x1,experience_off,19,19,1,19,0,-0.3130103647708893,0.014375103637576103,0.8629099726676941,False,False,False
0,64x1,experience_off,20,20,1,20,0,-0.3063392639160156,0.08454394340515137,0.9690073728561401,False,False,False
0,64x1,experience_off,21,21,1,21,0,-0.3065156042575836,0.12034809589385986,0.9293047785758972,False,False,False
0,64x1,experience_off,22,22,1,22,0,-0.30159252882003784,0.011556288227438927,0.9508477449417114,False,False,False
0,64x1,experience_off,23,23,1,23,0,-0.31402450799942017,0.009831487201154232,0.9308688640594482,False,False,False
0,64x1,experience_off,24,24,1,24,0,-0.308530330657959,0.04460576921701431,0.9042498469352722,False,False,False
0,64x1,experience_off,25,25,1,25,0,-0.3100828528404236,0.08729091286659241,0.9876714944839478,False,False,False
0,64x1,experience_off,26,26,1,26,0,-0.3142142593860626,0.07011805474758148,0.9557218551635742,False,False,False
0,64x1,experience_off,27,27,1,27,0,-0.31204015016555786,0.08982773125171661,0.9109603762626648,False,False,False
0,64x1,experience_off,28,28,1,28,0,-0.31086212396621704,0.009850883856415749,0.8591224551200867,False,False,False
0,64x1,experience_off,29,29,1,29,0,-0.3105590045452118,0.013683650642633438,0.7929365634918213,False,False,True
0,64x1,experience_off,30,30,1,30,0,-0.3129293918609619,0.07912340760231018,0.9472360610961914,False,False,False
0,64x1,experience_off,31,31,1,31,0,-0.31080204248428345,0.09493031352758408,0.956134021282196,False,False,False
0,64x1,experience_off,32,32,1,32,0,-0.31183332204818726,0.11538716405630112,0.9153739213943481,False,False,False
0,64x1,experience_off,33,33,1,33,0,-0.3061128258705139,0.2277555912733078,0.9361909031867981,False,False,False
0,64x1,experience_off,34,34,1,34,0,-0.30895093083381653,0.12933753430843353,0.9852378368377686,False,False,False
0,64x1,experience_off,35,35,1,35,0,-0.3164750337600708,0.029349487274885178,1.018019676208496,False,False,False
0,64x1,experience_off,36,36,1,36,0,-0.3143504559993744,0.02029937505722046,1.0866225957870483,False,False,False
0,64x1,experience_off,37,37,1,37,0,-0.3092714548110962,0.014454448595643044,1.0103319883346558,False,False,False
0,64x1,experience_off,38,38,1,38,0,-0.31548935174942017,0.08879125118255615,0.9468932151794434,False,False,False
0,64x1,experience_off,39,39,1,39,0,-0.31549954414367676,0.08396121114492416,0.9275423288345337,False,False,False
0,64x1,experience_off,40,40,1,40,0,-0.3132278621196747,0.0738866850733757,0.9073803424835205,False,False,False
0,64x1,experience_off,41,41,1,41,0,-0.3065892457962036,0.1196790337562561,1.0166703462600708,False,False,False
0,64x1,experience_off,42,42,1,42,0,-0.30987125635147095,0.08680957555770874,0.9244785904884338,False,False,False
0,64x1,experience_off,43,43,1,43,0,-0.3180963099002838,0.03380735591053963,0.9055837988853455,False,False,False
0,64x1,experience_off,44,44,1,44,0,-0.31186288595199585,0.03058445267379284,0.9786273241043091,False,False,False
0,64x1,experience_off,45,45,1,45,0,-0.310810387134552,0.08447137475013733,0.9603716731071472,False,False,False
0,64x1,experience_off,46,46,1,46,0,-0.312974750995636,0.11862656474113464,0.8382124304771423,False,False,False
0,64x1,experience_off,47,47,1,47,0,-0.31095021963119507,0.04318913817405701,0.915432870388031,False,False,False
0,64x1,experience_off,48,48,1,48,0,-0.3084452450275421,0.04411723464727402,0.8900628685951233,False,False,False
0,64x1,experience_off,49,49,1,49,0,-0.313372939825058,0.10889329761266708,0.9940528869628906,False,False,False
0,64x1,experience_off,50,50,1,50,0,-0.3074036240577698,0.1430875062942505,0.8875352144241333,False,False,False
0,64x1,experience_off,51,51,1,51,0,-0.3104507625102997,0.100985586643219,1.1094563007354736,False,False,False
0,64x1,experience_off,52,52,1,52,0,-0.30586549639701843,0.14518387615680695,0.9306857585906982,False,False,False
0,64x1,experience_off,53,53,1,53,0,-0.31206780672073364,0.07225120812654495,0.979282796382904,False,False,False
0,64x1,experience_off,54,54,1,54,0,-0.3188176155090332,0.11987505853176117,1.0040780305862427,True,False,False
0,64x1,experience_off,55,55,1,55,0,-0.3116492033004761,0.07901104539632797,1.0587958097457886,False,False,False
0,64x1,experience_off,56,56,1,56,0,-0.31453052163124084,0.13551318645477295,0.8116647005081177,False,False,False
0,64x1,experience_off,57,57,1,57,0,-0.30820709466934204,0.04270314425230026,0.8857582807540894,False,False,False
0,64x1,experience_off,58,58,1,58,0,-0.3087715208530426,0.04498131200671196,0.9907823204994202,False,False,False
0,64x1,experience_off,59,59,1,59,0,-0.31509673595428467,0.10518501698970795,1.0048165321350098,False,False,False
0,64x1,experience_off,60,60,1,60,0,-0.3136524260044098,0.009449428878724575,0.9524552822113037,False,False,False
0,64x1,experience_off,61,61,1,61,0,-0.3148214519023895,0.015399022027850151,1.0493615865707397,False,False,False
0,64x1,experience_off,62,62,1,62,0,-0.31078821420669556,0.02911393903195858,0.8915228247642517,False,False,False
0,64x1,experience_off,63,63,1,63,0,-0.31125974655151367,0.025109097361564636,0.8536102771759033,False,False,False
0,64x1,experience_off,64,64,1,64,0,-0.30602920055389404,0.11849688738584518,0.9761239290237427,False,False,False
0,32x2,experience_on,1,1,1,1,0,-0.3049956262111664,0.0702187716960907,0.9913842678070068,False,False,False
0,32x2,experience_on,2,2,1,2,0,-0.31166312098503113,0.07215738296508789,0.9774364829063416,False,False,False
0,32x2,experience_on,3,3,1,3,0,-0.31446534395217896,0.0757233276963234,0.9266353249549866,False,False,False
0,32x2,experience_on,4,4,1,4,0,-0.311861515045166,0.013785852119326591,0.8705074787139893,False,False,False
0,32x2,experience_on,5,5,1,5,0,-0.3038223385810852,0.07455088943243027,0.9855324625968933,False,False,False
0,32x2,experience_on,6,6,1,6,0,-0.3161328434944153,0.03206538408994675,0.9490613341331482,False,False,False
0,32x2,experience_on,7,7,1,7,0,-0.31065279245376587,0.020815938711166382,0.9990111589431763,False,False,False
0,32x2,experience_on,8,8,1,8,0,-0.3063141703605652,0.1176745817065239,0.8758531212806702,False,False,False
0,32x2,experience_on,9,9,1,9,0,-0.31025150418281555,0.01738721877336502,0.878007709980011,False,False,False
0,32x2,experience_on,10,10,1,10,0,-0.31517213582992554,0.022415824234485626,0.9527359008789062,False,False,False
0,32x2,experience_on,11,11,1,11,0,-0.3071737289428711,0.0992172360420227,1.1705853939056396,False,False,False
0,32x2,experience_on,12,12,1,12,0,-0.3146119713783264,0.06612085551023483,0.956669270992279,False,False,False
0,32x2,experience_on,13,13,1,13,0,-0.30659034848213196,0.07959365844726562,0.9455039501190186,False,False,False
0,32x2,experience_on,14,14,1,14,0,-0.3099849224090576,0.007314154878258705,0.9436341524124146,False,True,False
0,32x2,experience_on,15,15,1,15,0,-0.31048211455345154,0.17765232920646667,0.950898289680481,False,False,False
0,32x2,experience_on,16,16,1,16,0,-0.30742835998535156,0.011417411267757416,0.9743227958679199,False,False,False
0,32x2,experience_on,17,17,1,17,0,-0.3185350000858307,0.06823026388883591,0.9682995676994324,False,False,False
0,32x2,experience_on,18,18,1,18,0,-0.3061482608318329,0.02031017653644085,0.9259554743766785,False,False,False
