task_id,generated_path_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
0,1,1,1,0,-0.3076919913291931,0.07438436150550842,False,False
0,2,1,2,0,-0.3165173828601837,0.03497844561934471,False,False
0,3,1,3,0,-0.3094024062156677,0.007413038518279791,False,False
0,4,1,4,0,-0.30993688106536865,0.0855712890625,False,False
0,5,1,5,0,-0.31077128648757935,0.05313612148165703,False,False
0,6,1,6,0,-0.3090313673019409,0.021221674978733063,False,False
0,7,1,7,0,-0.30684444308280945,0.0399169847369194,False,False
0,8,1,8,0,-0.31271982192993164,0.14143095910549164,False,False
0,9,1,9,0,-0.30987098813056946,0.10514825582504272,False,False
0,10,1,10,0,-0.31053563952445984,0.14080871641635895,False,False
0,11,1,11,0,-0.30506432056427,0.01781531050801277,False,False
0,12,1,12,0,-0.30781853199005127,0.13903987407684326,False,False
0,13,1,13,0,-0.30555492639541626,0.02630215883255005,False,False
0,14,1,14,0,-0.3127942681312561,0.04542643576860428,False,False
0,15,1,15,0,-0.3114748001098633,0.0916939228773117,False,False
0,16,1,16,0,-0.3088495135307312,0.08882343024015427,False,False
0,17,2,1,16,-0.3090336322784424,0.13460402190685272,False,False
0,18,2,2,16,-0.3111458122730255,0.05777224153280258,False,False
0,19,2,3,16,-0.3142310380935669,0.10718749463558197,False,False
0,20,2,4,16,-0.30959761142730713,0.1172931119799614,False,False
0,21,2,5,16,-0.31511709094047546,0.06953206658363342,False,False
0,22,2,6,16,-0.31019318103790283,0.0123545927926898,False,False
0,23,2,7,16,-0.30753394961357117,0.09184040129184723,False,False
0,24,2,8,16,-0.30651170015335083,0.08171560615301132,False,False
0,25,2,9,16,-0.30794447660446167,0.09521228075027466,False,False
0,26,2,10,16,-0.31436288356781006,0.019729405641555786,False,False
0,27,2,11,16,-0.31244224309921265,0.030568480491638184,False,False
0,28,2,12,16,-0.31119149923324585,0.05290158838033676,False,False
0,29,2,13,16,-0.30829918384552,0.027488967403769493,False,False
0,30,2,14,16,-0.306645005941391,0.016621509566903114,False,False
0,31,2,15,16,-0.3098900318145752,0.06185467168688774,False,False
0,32,2,16,16,-0.30861735343933105,0.07306443154811859,False,False
0,33,3,1,32,-0.3081965446472168,0.010659826919436455,False,False
0,34,3,2,32,-0.31175506114959717,0.23415422439575195,False,False
0,35,3,3,32,-0.3103378415107727,0.048940788954496384,False,False
0,36,3,4,32,-0.3110429644584656,0.027462244033813477,False,False
0,37,3,5,32,-0.30950480699539185,0.019620975479483604,False,False
0,38,3,6,32,-0.309253454208374,0.023605704307556152,False,False
0,39,3,7,32,-0.3134616017341614,0.19863960146903992,False,False
0,40,3,8,32,-0.3153107464313507,0.03820612654089928,False,False
0,41,3,9,32,-0.31494051218032837,0.06646566092967987,False,False
0,42,3,10,32,-0.30809640884399414,0.14929857850074768,False,False
0,43,3,11,32,-0.3092799782752991,0.07872264087200165,False,False
0,44,3,12,32,-0.31206977367401123,0.02618270181119442,False,False
