task_id,generated_path_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
7,1,1,1,0,-0.2321448177099228,1.5909197330474854,False,False
7,2,1,2,0,-0.23092041909694672,2.0841283798217773,False,False
7,3,1,3,0,-0.23215936124324799,1.816451072692871,False,False
7,4,1,4,0,-0.23512239754199982,2.116950511932373,False,False
7,5,1,5,0,-0.22377784550189972,2.1005406379699707,False,False
7,6,1,6,0,-0.23650352656841278,1.550904631614685,False,False
7,7,1,7,0,-0.23474957048892975,2.0278382301330566,False,False
7,8,1,8,0,-0.22912296652793884,1.9776262044906616,False,False
7,9,1,9,0,-0.22736699879169464,1.8426789045333862,False,False
7,10,1,10,0,-0.2347934991121292,1.9943654537200928,False,False
7,11,1,11,0,-0.22838619351387024,1.4116840362548828,False,False
7,12,1,12,0,-0.23179462552070618,2.1648569107055664,False,False
7,13,1,13,0,-0.24052482843399048,1.8250443935394287,False,False
7,14,1,14,0,-0.22441250085830688,1.9786380529403687,False,False
7,15,1,15,0,-0.23387140035629272,2.09661865234375,False,False
7,16,1,16,0,-0.2372058928012848,1.9110625982284546,False,False
7,17,2,1,16,-0.22869208455085754,1.940438985824585,False,False
7,18,2,2,16,-0.2322031408548355,1.6012048721313477,False,False
7,19,2,3,16,-0.22034184634685516,2.024576187133789,False,False
7,20,2,4,16,-0.22658348083496094,2.0155792236328125,False,False
7,21,2,5,16,-0.23565727472305298,2.0790419578552246,False,False
7,22,2,6,16,-0.22897323966026306,2.011013984680176,False,False
7,23,2,7,16,-0.22888298332691193,1.7235832214355469,False,False
7,24,2,8,16,-0.23105789721012115,1.9684178829193115,False,False
7,25,2,9,16,-0.2355760782957077,1.8441038131713867,False,False
7,26,2,10,16,-0.23374180495738983,1.492522954940796,False,False
7,27,2,11,16,-0.22581090033054352,1.9219026565551758,False,False
7,28,2,12,16,-0.2323806881904602,1.4103772640228271,False,False
7,29,2,13,16,-0.23136091232299805,2.146815299987793,False,False
7,30,2,14,16,-0.23079851269721985,1.8400110006332397,False,False
7,31,2,15,16,-0.23490476608276367,1.8609875440597534,False,False
7,32,2,16,16,-0.24201445281505585,2.0884437561035156,False,False
7,33,3,1,32,-0.23437193036079407,1.5327730178833008,False,False
7,34,3,2,32,-0.23486511409282684,1.1215229034423828,False,False
7,35,3,3,32,-0.2089764028787613,0.8503091335296631,False,True
7,36,3,4,32,-0.23198221623897552,1.949005365371704,False,False
7,37,3,5,32,-0.22150535881519318,1.9015820026397705,False,False
7,38,3,6,32,-0.2238590568304062,1.3489112854003906,False,False
7,39,3,7,32,-0.23859162628650665,2.131345272064209,False,False
7,40,3,8,32,-0.21491925418376923,1.9924063682556152,False,False
7,41,3,9,32,-0.2369031459093094,1.607177972793579,False,False
7,42,3,10,32,-0.23428834974765778,2.1111903190612793,False,False
7,43,3,11,32,-0.22356252372264862,2.1161413192749023,False,False
7,44,3,12,32,-0.22724179923534393,1.5645698308944702,False,False
7,45,3,13,32,-0.23960883915424347,1.7362041473388672,False,False
7,46,3,14,32,-0.2413116693496704,1.739145040512085,False,False
7,47,3,15,32,-0.23234520852565765,2.036017656326294,False,False
7,48,3,16,32,-0.2295197695493698,1.6125431060791016,False,False
7,49,4,1,48,-0.22859564423561096,1.32244873046875,False,False
7,50,4,2,48,-0.2304249256849289,1.4001314640045166,False,False
7,51,4,3,48,-0.2415567934513092,1.8895343542099,False,False
7,52,4,4,48,-0.23201224207878113,2.06484317779541,False,False
7,53,4,5,48,-0.23575901985168457,1.1606948375701904,False,False
7,54,4,6,48,-0.22175666689872742,1.71537446975708,False,False
7,55,4,7,48,-0.23093532025814056,2.1125123500823975,False,False
7,56,4,8,48,-0.22633904218673706,2.0729212760925293,False,False
7,57,4,9,48,-0.23926113545894623,2.1051464080810547,False,False
7,58,4,10,48,-0.2282642424106598,1.6486890316009521,False,False
7,59,4,11,48,-0.2181357741355896,1.872527837753296,False,False
7,60,4,12,48,-0.24200041592121124,2.0874640941619873,False,False
7,61,4,13,48,-0.22423754632472992,1.5172169208526611,False,False
7,62,4,14,48,-0.23236767947673798,1.8274884223937988,False,False
7,63,4,15,48,-0.23408068716526031,1.9419397115707397,False,False
7,64,4,16,48,-0.24525265395641327,1.826472282409668,True,False
