task_id,generated_path_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
2,1,1,1,0,-0.24822919070720673,0.13439027965068817,False,False
2,2,1,2,0,-0.2503279149532318,0.07048436999320984,False,False
2,3,1,3,0,-0.26764747500419617,0.11945633590221405,False,False
2,4,1,4,0,-0.256318598985672,0.1829848289489746,False,False
2,5,1,5,0,-0.2615838646888733,0.2732402980327606,False,False
2,6,1,6,0,-0.269408643245697,0.11044976115226746,False,False
2,7,1,7,0,-0.25728389620780945,0.34318026900291443,False,False
2,8,1,8,0,-0.2664448320865631,0.2578962445259094,False,False
2,9,1,9,0,-0.25446781516075134,0.2685818374156952,False,False
2,10,1,10,0,-0.2641356289386749,0.16126719117164612,False,False
2,11,1,11,0,-0.25741779804229736,0.10281079262495041,False,False
2,12,1,12,0,-0.2640911042690277,0.17207257449626923,False,False
2,13,1,13,0,-0.2554325461387634,0.15450827777385712,False,False
2,14,1,14,0,-0.25928443670272827,0.04382311925292015,False,False
2,15,1,15,0,-0.26887840032577515,0.21862731873989105,False,False
2,16,1,16,0,-0.2595338523387909,0.10525143146514893,False,False
2,17,2,1,16,-0.2631191611289978,0.5265862941741943,False,False
2,18,2,2,16,-0.26723670959472656,0.0929676815867424,False,False
2,19,2,3,16,-0.27716219425201416,0.14563272893428802,False,False
2,20,2,4,16,-0.26105302572250366,0.12222445011138916,False,False
2,21,2,5,16,-0.27190926671028137,0.05366981774568558,False,False
2,22,2,6,16,-0.272125780582428,0.12593919038772583,False,False
2,23,2,7,16,-0.2640720009803772,0.23747360706329346,False,False
2,24,2,8,16,-0.2712271511554718,0.08944528549909592,False,False
2,25,2,9,16,-0.26136720180511475,0.12141122668981552,False,False
2,26,2,10,16,-0.26895594596862793,0.3627021908760071,False,False
2,27,2,11,16,-0.27369529008865356,0.28790804743766785,False,False
2,28,2,12,16,-0.25942355394363403,0.21046988666057587,False,False
2,29,2,13,16,-0.260010689496994,0.05983927100896835,False,False
2,30,2,14,16,-0.2729731798171997,0.20248115062713623,False,False
2,31,2,15,16,-0.2620711922645569,0.43979355692863464,False,False
2,32,2,16,16,-0.27627432346343994,0.20920869708061218,False,False
2,33,3,1,32,-0.2692493796348572,0.05942419916391373,False,False
2,34,3,2,32,-0.26150578260421753,0.12212041020393372,False,False
2,35,3,3,32,-0.25879451632499695,0.0402897372841835,False,False
2,36,3,4,32,-0.27722227573394775,0.22058086097240448,True,False
2,37,3,5,32,-0.25475525856018066,0.05831381306052208,False,False
2,38,3,6,32,-0.24364112317562103,0.08107730746269226,False,False
2,39,3,7,32,-0.25981003046035767,0.46924278140068054,False,False
2,40,3,8,32,-0.24883787333965302,0.2307223528623581,False,False
2,41,3,9,32,-0.26495271921157837,0.4873356521129608,False,False
2,42,3,10,32,-0.2720034122467041,0.23639222979545593,False,False
2,43,3,11,32,-0.24932517111301422,0.25857260823249817,False,False
2,44,3,12,32,-0.2606049180030823,0.3222109377384186,False,False
2,45,3,13,32,-0.2687406539916992,0.05814509093761444,False,False
2,46,3,14,32,-0.27118927240371704,0.1414005160331726,False,False
2,47,3,15,32,-0.26454031467437744,0.08588139712810516,False,False
2,48,3,16,32,-0.2574339509010315,0.06688790023326874,False,False
2,49,4,1,48,-0.2551119327545166,0.1202835664153099,False,False
2,50,4,2,48,-0.2593678832054138,0.12272509187459946,False,False
2,51,4,3,48,-0.2558620274066925,0.17133045196533203,False,False
2,52,4,4,48,-0.2682833671569824,0.07272959500551224,False,False
2,53,4,5,48,-0.2663602828979492,0.38830846548080444,False,False
2,54,4,6,48,-0.26080456376075745,0.1141328439116478,False,False
2,55,4,7,48,-0.2611236572265625,0.14130336046218872,False,False
2,56,4,8,48,-0.26231715083122253,0.013173036277294159,False,True
2,57,4,9,48,-0.26975852251052856,0.06682660430669785,False,False
2,58,4,10,48,-0.2586669921875,0.2577657103538513,False,False
2,59,4,11,48,-0.2528688311576843,0.1527719497680664,False,False
2,60,4,12,48,-0.2590038776397705,0.035157233476638794,False,False
2,61,4,13,48,-0.2680717706680298,0.24362985789775848,False,False
2,62,4,14,48,-0.2475777119398117,0.10153651237487793,False,False
2,63,4,15,48,-0.2730277180671692,0.02061133086681366,False,False
2,64,4,16,48,-0.25643372535705566,0.19028471410274506,False,False
