task_id,generated_path_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
3,1,1,1,0,-0.31738314032554626,0.4739339053630829,False,False
3,2,1,2,0,-0.3182390332221985,0.3391411304473877,False,False
3,3,1,3,0,-0.3117740750312805,0.22219710052013397,False,False
3,4,1,4,0,-0.35439562797546387,0.523009717464447,False,False
3,5,1,5,0,-0.316305011510849,0.5734699964523315,False,False
3,6,1,6,0,-0.33764582872390747,0.2880159616470337,False,False
3,7,1,7,0,-0.27954238653182983,0.2375168651342392,False,False
3,8,1,8,0,-0.3066498041152954,0.1372292935848236,False,False
3,9,1,9,0,-0.33704063296318054,0.3492470383644104,False,False
3,10,1,10,0,-0.33700308203697205,0.3302043676376343,False,False
3,11,1,11,0,-0.3107792139053345,0.5858136415481567,False,False
3,12,1,12,0,-0.34265559911727905,0.20505285263061523,False,False
3,13,1,13,0,-0.3259129524230957,0.16094738245010376,False,False
3,14,1,14,0,-0.33985039591789246,0.12490926682949066,False,False
3,15,1,15,0,-0.32922303676605225,0.12024584412574768,False,False
3,16,1,16,0,-0.3339948058128357,0.17936983704566956,False,False
3,17,1,17,0,-0.33253854513168335,0.1682407110929489,False,False
3,18,1,18,0,-0.3397502899169922,0.16514140367507935,False,False
3,19,1,19,0,-0.32881543040275574,0.26511889696121216,False,False
3,20,1,20,0,-0.33581987023353577,0.2576950490474701,False,False
3,21,1,21,0,-0.3404974937438965,0.4948074221611023,False,False
3,22,1,22,0,-0.3247315287590027,0.28542643785476685,False,False
3,23,1,23,0,-0.33904606103897095,0.15644590556621552,False,False
3,24,1,24,0,-0.32600781321525574,0.16436222195625305,False,False
3,25,1,25,0,-0.3394680619239807,0.13320064544677734,False,False
3,26,1,26,0,-0.30531400442123413,0.1528988778591156,False,False
3,27,1,27,0,-0.3463580906391144,0.4384741187095642,False,False
3,28,1,28,0,-0.33137404918670654,0.745597779750824,False,False
3,29,1,29,0,-0.34162265062332153,0.09058481454849243,False,False
3,30,1,30,0,-0.3521873354911804,0.28313907980918884,False,False
3,31,1,31,0,-0.3129655420780182,0.1300756186246872,False,False
3,32,1,32,0,-0.34350940585136414,0.3502781093120575,False,False
3,33,1,33,0,-0.33519992232322693,0.1388867050409317,False,False
3,34,1,34,0,-0.31062906980514526,0.2532794177532196,False,False
3,35,1,35,0,-0.3362826704978943,0.5669548511505127,False,False
3,36,1,36,0,-0.3181794583797455,0.08707739412784576,False,True
3,37,1,37,0,-0.30093905329704285,0.2141178548336029,False,False
3,38,1,38,0,-0.3328501582145691,0.12878194451332092,False,False
3,39,1,39,0,-0.3213321566581726,0.46991145610809326,False,False
3,40,1,40,0,-0.3223458528518677,0.15022897720336914,False,False
3,41,1,41,0,-0.3544541001319885,1.5098203420639038,False,False
3,42,1,42,0,-0.35634779930114746,0.13617829978466034,False,False
3,43,1,43,0,-0.32587549090385437,0.41288694739341736,False,False
3,44,1,44,0,-0.3190535306930542,0.1290990710258484,False,False
3,45,1,45,0,-0.35731035470962524,0.14418964087963104,True,False
3,46,1,46,0,-0.33344778418540955,0.1606956124305725,False,False
3,47,1,47,0,-0.33146238327026367,0.2512345314025879,False,False
3,48,1,48,0,-0.3113243579864502,0.21320967376232147,False,False
3,49,1,49,0,-0.3481329083442688,0.12587875127792358,False,False
3,50,1,50,0,-0.34062454104423523,0.43164119124412537,False,False
3,51,1,51,0,-0.34272587299346924,0.27161654829978943,False,False
3,52,1,52,0,-0.312811017036438,0.12007185071706772,False,False
3,53,1,53,0,-0.31375065445899963,0.17188435792922974,False,False
3,54,1,54,0,-0.3191874921321869,0.22723698616027832,False,False
3,55,1,55,0,-0.3366050124168396,0.44617772102355957,False,False
3,56,1,56,0,-0.2979053258895874,0.40815621614456177,False,False
3,57,1,57,0,-0.33611348271369934,0.1447484940290451,False,False
3,58,1,58,0,-0.3314807116985321,0.164683997631073,False,False
3,59,1,59,0,-0.30892467498779297,0.24517175555229187,False,False
3,60,1,60,0,-0.32875287532806396,0.1928396224975586,False,False
3,61,1,61,0,-0.31545740365982056,0.09314852952957153,False,False
3,62,1,62,0,-0.3048948049545288,0.22425046563148499,False,False
3,63,1,63,0,-0.3207775354385376,0.16942358016967773,False,False
3,64,1,64,0,-0.3468572497367859,0.341813325881958,False,False
