task_id,generated_path_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
1,1,1,1,0,-0.3378090560436249,0.04555897414684296,False,False
1,2,1,2,0,-0.3328573703765869,0.04567302390933037,False,False
1,3,1,3,0,-0.33956849575042725,0.03243838623166084,False,False
1,4,1,4,0,-0.33887067437171936,0.03635897859930992,False,False
1,5,1,5,0,-0.3349694013595581,0.04335330054163933,False,False
1,6,1,6,0,-0.3399817943572998,0.040886253118515015,False,False
1,7,1,7,0,-0.33590057492256165,0.020347902551293373,False,False
1,8,1,8,0,-0.3377912938594818,0.07227978110313416,False,False
1,9,1,9,0,-0.33993232250213623,0.07464824616909027,False,False
1,10,1,10,0,-0.33582207560539246,0.04355373978614807,False,False
1,11,1,11,0,-0.3309548795223236,0.03172996640205383,False,False
1,12,1,12,0,-0.3385744094848633,0.020624885335564613,False,False
1,13,1,13,0,-0.33626097440719604,0.03835268318653107,False,False
1,14,1,14,0,-0.3352002501487732,0.01862609013915062,False,False
1,15,1,15,0,-0.33325427770614624,0.01806829869747162,False,False
1,16,1,16,0,-0.3384302854537964,0.05410333722829819,False,False
1,17,1,17,0,-0.3340655565261841,0.08017951995134354,False,False
1,18,1,18,0,-0.34164512157440186,0.062327198684215546,False,False
1,19,1,19,0,-0.3411034941673279,0.03265969455242157,False,False
1,20,1,20,0,-0.3442729115486145,0.050800129771232605,True,False
1,21,1,21,0,-0.33927392959594727,0.08096081018447876,False,False
1,22,1,22,0,-0.3367617130279541,0.033712610602378845,False,False
1,23,1,23,0,-0.337856262922287,0.062821164727211,False,False
1,24,1,24,0,-0.33918076753616333,0.07208409160375595,False,False
1,25,1,25,0,-0.3354196846485138,0.028497066348791122,False,False
1,26,1,26,0,-0.33631616830825806,0.04860861226916313,False,False
1,27,1,27,0,-0.338467538356781,0.026544025167822838,False,False
1,28,1,28,0,-0.3350009024143219,0.051155947148799896,False,False
1,29,1,29,0,-0.3366148769855499,0.08500394225120544,False,False
1,30,1,30,0,-0.3325437903404236,0.05354312062263489,False,False
1,31,1,31,0,-0.33630120754241943,0.041018493473529816,False,False
1,32,1,32,0,-0.3414236307144165,0.0720805898308754,False,False
1,33,1,33,0,-0.33901268243789673,0.0591706745326519,False,False
1,34,1,34,0,-0.33648157119750977,0.021170970052480698,False,False
1,35,1,35,0,-0.3378298282623291,0.045927517116069794,False,False
1,36,1,36,0,-0.3396340310573578,0.03871021419763565,False,False
1,37,1,37,0,-0.3326180875301361,0.028878476470708847,False,False
1,38,1,38,0,-0.3364849090576172,0.03915625065565109,False,False
1,39,1,39,0,-0.3410298228263855,0.08824851363897324,False,False
1,40,1,40,0,-0.33984893560409546,0.017894186079502106,False,True
1,41,1,41,0,-0.3426463007926941,0.034907080233097076,False,False
1,42,1,42,0,-0.340646356344223,0.05867229402065277,False,False
1,43,1,43,0,-0.33625057339668274,0.05639178678393364,False,False
1,44,1,44,0,-0.33830100297927856,0.028879066929221153,False,False
1,45,1,45,0,-0.33656254410743713,0.05134668946266174,False,False
1,46,1,46,0,-0.3375840485095978,0.02015693485736847,False,False
1,47,1,47,0,-0.34109950065612793,0.04084472358226776,False,False
1,48,1,48,0,-0.33360666036605835,0.05365994572639465,False,False
1,49,1,49,0,-0.33118736743927,0.025053303688764572,False,False
1,50,1,50,0,-0.33710160851478577,0.04063301533460617,False,False
1,51,1,51,0,-0.33702975511550903,0.017942409962415695,False,False
1,52,1,52,0,-0.33652791380882263,0.04261937737464905,False,False
1,53,1,53,0,-0.33938688039779663,0.05173177644610405,False,False
1,54,1,54,0,-0.33864927291870117,0.04152202606201172,False,False
1,55,1,55,0,-0.34394583106040955,0.030409356579184532,False,False
1,56,1,56,0,-0.3355417549610138,0.0950072854757309,False,False
1,57,1,57,0,-0.3408675491809845,0.03119826316833496,False,False
1,58,1,58,0,-0.3389362096786499,0.050170816481113434,False,False
1,59,1,59,0,-0.33558303117752075,0.02717887982726097,False,False
1,60,1,60,0,-0.339937686920166,0.022476814687252045,False,False
1,61,1,61,0,-0.34052738547325134,0.024039199575781822,False,False
1,62,1,62,0,-0.33908671140670776,0.020284488797187805,False,False
1,63,1,63,0,-0.33985021710395813,0.032755400985479355,False,False
1,64,1,64,0,-0.33881711959838867,0.032969046384096146,False,False
