task_id,generated_path_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
5,1,1,1,0,-0.39810067415237427,0.09327057003974915,False,False
5,2,1,2,0,-0.36747846007347107,0.5680108666419983,False,False
5,3,1,3,0,-0.38419002294540405,0.24505966901779175,False,False
5,4,1,4,0,-0.3937010169029236,0.480205237865448,False,False
5,5,1,5,0,-0.39578258991241455,0.18123328685760498,False,False
5,6,1,6,0,-0.37553417682647705,0.2075965404510498,False,False
5,7,1,7,0,-0.3948143422603607,0.4138714671134949,False,False
5,8,1,8,0,-0.3902492821216583,0.4275606572628021,False,False
5,9,1,9,0,-0.3868338167667389,0.2517237365245819,False,False
5,10,1,10,0,-0.37579795718193054,0.21241633594036102,False,False
5,11,1,11,0,-0.38435429334640503,0.3337549865245819,False,False
5,12,1,12,0,-0.37915176153182983,0.22486889362335205,False,False
5,13,1,13,0,-0.3903464674949646,0.2888745665550232,False,False
5,14,1,14,0,-0.38959115743637085,0.11696265637874603,False,False
5,15,1,15,0,-0.38048481941223145,0.2539292573928833,False,False
5,16,1,16,0,-0.3833824396133423,0.24105128645896912,False,False
5,17,1,17,0,-0.38311463594436646,0.25692781805992126,False,False
5,18,1,18,0,-0.38434040546417236,0.22594773769378662,False,False
5,19,1,19,0,-0.36897027492523193,0.06541359424591064,False,True
5,20,1,20,0,-0.38066795468330383,0.24077510833740234,False,False
5,21,1,21,0,-0.3901315927505493,0.39198464155197144,False,False
5,22,1,22,0,-0.38483041524887085,0.13760100305080414,False,False
5,23,1,23,0,-0.3870418667793274,0.1803739368915558,False,False
5,24,1,24,0,-0.3847947418689728,0.35085922479629517,False,False
5,25,1,25,0,-0.39080697298049927,0.09156810492277145,False,False
5,26,1,26,0,-0.3648144602775574,0.1739451140165329,False,False
5,27,1,27,0,-0.38368770480155945,0.12822815775871277,False,False
5,28,1,28,0,-0.3953166604042053,0.18828663229942322,False,False
5,29,1,29,0,-0.3576505780220032,0.2265004813671112,False,False
5,30,1,30,0,-0.40041014552116394,0.15280349552631378,True,False
5,31,1,31,0,-0.3857293128967285,0.20937630534172058,False,False
5,32,1,32,0,-0.3871825933456421,0.16970622539520264,False,False
5,33,1,33,0,-0.3928476572036743,0.1911991685628891,False,False
5,34,1,34,0,-0.37614500522613525,0.20988714694976807,False,False
5,35,1,35,0,-0.38494762778282166,0.35767436027526855,False,False
5,36,1,36,0,-0.38060295581817627,0.23920056223869324,False,False
5,37,1,37,0,-0.3855913281440735,0.20695428550243378,False,False
5,38,1,38,0,-0.385378897190094,0.12081609666347504,False,False
5,39,1,39,0,-0.3961396813392639,0.49493536353111267,False,False
5,40,1,40,0,-0.3946147561073303,0.21430781483650208,False,False
5,41,1,41,0,-0.3741094172000885,0.42834335565567017,False,False
5,42,1,42,0,-0.373037189245224,0.18744874000549316,False,False
5,43,1,43,0,-0.39571940898895264,0.20049433410167694,False,False
5,44,1,44,0,-0.37095779180526733,0.22840814292430878,False,False
5,45,1,45,0,-0.3848419487476349,0.21953332424163818,False,False
5,46,1,46,0,-0.3937292695045471,0.23483401536941528,False,False
5,47,1,47,0,-0.388495534658432,0.6403912305831909,False,False
5,48,1,48,0,-0.38412803411483765,0.10957108438014984,False,False
5,49,1,49,0,-0.39298832416534424,0.34752142429351807,False,False
5,50,1,50,0,-0.36954307556152344,0.4106753468513489,False,False
5,51,1,51,0,-0.3842092752456665,0.23345866799354553,False,False
5,52,1,52,0,-0.38682854175567627,0.09109167754650116,False,False
5,53,1,53,0,-0.38608619570732117,0.09386132657527924,False,False
5,54,1,54,0,-0.38639211654663086,0.1271742880344391,False,False
5,55,1,55,0,-0.38390642404556274,0.6926866769790649,False,False
5,56,1,56,0,-0.38784778118133545,0.18153157830238342,False,False
5,57,1,57,0,-0.3865000605583191,0.2883564531803131,False,False
5,58,1,58,0,-0.38250622153282166,0.2241481989622116,False,False
5,59,1,59,0,-0.3776983618736267,0.3654637336730957,False,False
5,60,1,60,0,-0.3909851014614105,0.22732341289520264,False,False
5,61,1,61,0,-0.38128727674484253,0.1636238694190979,False,False
5,62,1,62,0,-0.3933018743991852,0.07500748336315155,False,False
5,63,1,63,0,-0.3936386704444885,0.3518691062927246,False,False
5,64,1,64,0,-0.3780762255191803,0.15648804605007172,False,False
